textual_coverages	nontextual_coverages	background_coverages	total_tokens	total	recall_at_1
0.20163555939149252	0.2725774379199124	0.5257870026885951	38	1.0	1
0.06056387608806964	0.6287337562017762	0.31070236771015414	43	1.0	1
0.07189070821345446	0.12986033820414317	0.7982489535824024	6	1.0	1
0.17048902005824282	0.24457301689444547	0.5849379630473117	59	1.0	1
0.043305336789286546	0.16219684256582373	0.7944978206448898	40	1.0	1
0.17042282681736592	0.2608871557735194	0.5686900174091146	38	0.9999999999999999	1
0.07698512541266547	0.13357909451659453	0.78943578007074	12	1.0	1
0.14837040396783718	0.2854219625658579	0.5662076334663049	48	1.0	1
0.03198975310983184	0.3900509538713764	0.5779592930187918	21	1.0	1
0.07660934744268078	0.8129436728395062	0.11044697971781303	31	1.0	1
0.09601087818090691	0.40298767241127925	0.5010014494078139	46	1.0	1
0.0396838227778613	0.1843824719845591	0.7759337052375797	4	1.0	1
0.10297714892068134	0.21234491927473734	0.6846779318045814	34	1.0	1
0.09967900852546073	0.3413812665828795	0.5589397248916598	119	1.0	1
0.07416450176640535	0.22451969867653707	0.7013157995570576	62	1.0	1
0.2023952972868498	0.5233633217366094	0.2742413809765408	133	1.0	1
0.02994607496463932	0.09239368877363927	0.8776602362617214	9	1.0	1
0.09098850815415759	0.12533835278040575	0.7836731390654367	19	1.0	1
0.43142700817168317	0.6136147211988903	-0.04504172937057338	191	1.0	1
0.07655809207905498	0.6168355649862198	0.3066063429347252	106	1.0	1
0.1326500496031746	0.2698561507936508	0.5974937996031746	44	1.0	1
0.2506395738345728	0.47186551011177874	0.27749491605364845	212	1.0	1
0.07509890693366549	0.12040546852543835	0.8044956245408962	52	1.0	1
0.0912885510083526	0.17682406228293587	0.7318873867087115	37	1.0	1
0.07116560679653143	0.14370381773399016	0.7851305754694784	26	1.0	1
0.0	0.9703586392657622	0.029641360734237843	0	1.0	1
0.11514039547862114	0.41250327749264676	0.47235632702873215	45	1.0	1
0.10095558650377708	0.13796619617318875	0.7610782173230342	24	1.0	1
0.11733411609809574	0.15601415411060082	0.7266517297913034	26	1.0	1
0.16567460317460317	0.3486748866213152	0.4856505102040817	39	1.0	1
0.16272111653708266	0.7123013823932961	0.12497750106962124	71	1.0	1
0.06075963148635461	0.2380052961521833	0.701235072361462	35	1.0	1
